id,categoryId,brandId,model,year,price,fueltypeId
1,3,1,Corolla,2022,20000,1
2,1,2,Mustang,2021,35000,1
3,3,3,X5,2023,60000,3
4,3,4,GLE,2022,65000,2
5,1,5,A4,2021,40000,1
6,3,6,Civic,2022,22000,4
7,8,7,Silverado,2023,50000,2
8,1,8,Altima,2021,25000,1
9,3,9,Golf,2022,28000,1
10,1,10,Elantra,2022,21000,1
11,2,1,Yaris,2020,15000,1
12,4,2,Fiesta,2019,18000,1
13,5,3,4 Series,2021,45000,3
14,6,4,C-Class Cabriolet,2022,55000,2
15,7,5,A5 Convertible,2021,47000,1
16,3,6,Accord,2022,25000,4
17,8,7,Colorado,2020,40000,2
18,2,8,Sentra,2021,22000,1
19,3,9,Passat,2022,30000,1
20,1,10,Sonata,2022,23000,1
21,3,1,RAV4,2023,28000,4
22,3,2,Explorer,2021,42000,2
23,3,3,X3,2022,50000,3
24,1,4,CLA,2021,38000,1
25,3,5,Q5,2022,52000,1
26,2,6,Fit,2021,17000,4
27,8,7,Tahoe,2022,60000,2
28,2,8,Kicks,2021,21000,1
29,3,9,Tiguan,2022,35000,1
30,1,10,Ioniq,2023,25000,3
31,4,1,Camry Coupe,2020,27000,1
32,5,2,Edge,2021,33000,2
33,3,3,7 Series,2023,90000,3
34,3,4,GLS,2022,75000,2
35,1,5,A6,2022,50000,1
36,3,6,Insight,2022,26000,4
37,8,7,Sierra,2023,55000,2
38,2,8,Versa,2021,19000,1
39,3,9,Arteon,2022,40000,1
40,1,10,Elantra N,2023,28000,1
41,3,1,Highlander,2022,35000,4
42,3,2,Ranger,2021,30000,2
43,3,3,i8,2021,140000,3
44,4,4,CLS Coupe,2022,65000,2
45,5,5,Q7,2023,65000,1
46,2,6,HR-V,2022,22000,4
47,8,7,Silverado 2500,2023,70000,2
48,3,8,Rogue,2022,27000,1
49,3,9,ID.4,2023,38000,3
50,1,10,Venue,2022,19000,1
